@relation CombinePD-CO

@attribute Total_Left numeric
@attribute Total_Right numeric
@attribute PD-Yes-Control-No {Yes,No}

@data
679.91,0,Yes
679.91,0,Yes
683.43,0,Yes
683.87,0,Yes
682.77,0,Yes
681.23,0,Yes
683.1,0,Yes
689.26,0,Yes
684.09,0,Yes
688.16,0,Yes
687.17,0,Yes
686.07,0,Yes
687.06,0,Yes
687.61,0,Yes
678.26,0,Yes
678.59,0,Yes
683.1,0,Yes
676.72,0,Yes
673.2,0,Yes
663.63,0,Yes
660.44,6.93,Yes
641.96,23.1,Yes
633.49,41.69,Yes
610.61,71.17,Yes
598.18,138.82,Yes
584.65,195.69,Yes
567.49,230.78,Yes
536.47,263.34,Yes
512.49,292.49,Yes
488.95,315.26,Yes
460.68,342.76,Yes
426.91,376.86,Yes
389.51,399.74,Yes
367.18,411.62,Yes
343.31,418.33,Yes
301.95,424.05,Yes
253.55,428.89,Yes
201.52,434.06,Yes
152.57,442.86,Yes
123.64,454.85,Yes
106.92,468.82,Yes
84.7,482.24,Yes
63.58,499.62,Yes
39.6,520.63,Yes
17.6,536.91,Yes
8.8,556.82,Yes
0,575.41,Yes
0,590.48,Yes
0,613.8,Yes
0,631.62,Yes
0,650.87,Yes
0,662.09,Yes
0,677.38,Yes
0,686.29,Yes
0,697.73,Yes
0,706.2,Yes
0,708.62,Yes
0,711.26,Yes
0,719.51,Yes
0,717.97,Yes
0,716.21,Yes
0,710.05,Yes
0,710.49,Yes
0,710.27,Yes
0,710.82,Yes
0,704.44,Yes
0,708.18,Yes
0,706.75,Yes
0,708.18,Yes
0,706.42,Yes
0,712.91,Yes
0,708.18,Yes
0,715.11,Yes
0,715.22,Yes
0,721.05,Yes
0,720.72,Yes
0,727.1,Yes
0,729.63,Yes
0,727.21,Yes
0,728.2,Yes
0,723.58,Yes
0,725.01,Yes
0,721.82,Yes
0,718.19,Yes
0,721.27,Yes
0,714.34,Yes
0,710.38,Yes
0,703.56,Yes
0,700.7,Yes
0,699.49,Yes
0,682.44,Yes
0,667.48,Yes
0,655.6,Yes
0,647.35,Yes
10.12,632.39,Yes
20.24,606.76,Yes
27.83,580.14,Yes
45.54,549.23,Yes
75.35,522.5,Yes
137.94,497.09,Yes
189.42,466.29,Yes
247.61,438.57,Yes
296.56,404.14,Yes
337.92,357.17,Yes
370.48,337.48,Yes
394.13,322.63,Yes
419.87,280.5,Yes
429.55,249.26,Yes
446.16,211.31,Yes
454.85,179.08,Yes
454.63,156.09,Yes
467.17,133.65,Yes
478.17,106.59,Yes
490.38,74.47,Yes
498.74,45.98,Yes
509.96,21.12,Yes
530.97,15.29,Yes
549.12,11.44,Yes
562.1,5.72,Yes
577.28,0,Yes
592.02,0,Yes
608.41,0,Yes
616.22,0,Yes
623.15,0,Yes
633.38,0,Yes
640.09,0,Yes
651.75,0,Yes
654.5,0,Yes
664.51,0,Yes
668.69,0,Yes
666.49,0,Yes
676.39,0,Yes
674.19,0,Yes
668.91,0,Yes
670.67,0,Yes
665.39,0,Yes
670.12,0,Yes
665.17,0,Yes
661.54,0,Yes
664.62,0,Yes
659.23,0,Yes
666.93,0,Yes
666.05,0,Yes
669.13,0,Yes
673.09,0,Yes
669.35,0,Yes
672.43,0,Yes
673.53,0,Yes
675.18,0,Yes
672.76,0,Yes
674.96,0,Yes
673.86,0,Yes
663.3,0,Yes
661.1,0,Yes
662.64,0,Yes
656.48,0,Yes
648.01,0,Yes
641.41,0,Yes
636.02,0,Yes
632.61,0,Yes
627.55,0,Yes
622.6,13.86,Yes
618.09,34.76,Yes
606.54,61.27,Yes
596.97,113.19,Yes
587.18,165.22,Yes
575.52,218.02,Yes
553.96,260.26,Yes
530.75,297.55,Yes
504.02,315.04,Yes
471.46,329.78,Yes
453.75,349.03,Yes
435.05,373.89,Yes
403.81,397.54,Yes
355.52,410.52,Yes
304.59,431.2,Yes
245.63,447.48,Yes
190.08,461.56,Yes
154.77,476.41,Yes
137.06,489.39,Yes
114.4,501.82,Yes
93.28,522.83,Yes
63.58,536.03,Yes
41.58,555.17,Yes
19.58,575.96,Yes
8.8,599.17,Yes
0,620.73,Yes
0,636.46,Yes
0,657.69,Yes
0,670.89,Yes
0,681.23,Yes
0,697.84,Yes
0,704.55,Yes
0,708.29,Yes
0,713.24,Yes
0,716.98,Yes
0,720.28,Yes
0,723.03,Yes
0,731.83,Yes
0,732.38,Yes
0,728.2,Yes
0,724.02,Yes
0,718.96,Yes
0,717.97,Yes
0,711.59,Yes
0,709.94,Yes
0,704.66,Yes
0,698.72,Yes
0,696.63,Yes
0,692.56,Yes
0,687.72,Yes
0,685.08,Yes
0,684.31,Yes
0,692.23,Yes
0,693.99,Yes
0,698.61,Yes
0,702.35,Yes
0,707.74,Yes
0,709.94,Yes
0,718.08,Yes
0,722.7,Yes
0,725.45,Yes
0,722.7,Yes
0,720.28,Yes
0,714.23,Yes
0,709.61,Yes
0,701.14,Yes
0,702.24,Yes
0,696.85,Yes
0,682.55,Yes
0,672.98,Yes
0,661.32,Yes
0,657.91,Yes
0,651.75,Yes
5.06,637.78,Yes
10.12,627,Yes
17.71,601.92,Yes
25.3,582.56,Yes
40.48,555.61,Yes
59.95,535.7,Yes
105.82,518.65,Yes
169.95,507.98,Yes
205.48,489.39,Yes
247.61,458.92,Yes
268.95,414.7,Yes
311.63,381.81,Yes
344.63,363.22,Yes
374.55,346.06,Yes
401.94,316.8,Yes
420.09,288.42,Yes
435.38,250.25,Yes
451.55,205.92,Yes
473.11,187.88,Yes
484.66,172.04,Yes
503.14,142.89,Yes
516.45,108.9,Yes
529.43,74.8,Yes
550.66,46.53,Yes
567.05,32.45,Yes
581.79,17.27,Yes
595.98,13.42,Yes
616.66,7.59,Yes
631.51,3.74,Yes
642.62,0,Yes
661.32,0,Yes
671.55,0,Yes
684.09,0,Yes
689.81,0,Yes
691.79,0,Yes
702.02,0,Yes
704.66,0,Yes
704.99,0,Yes
705.43,0,Yes
693.44,0,Yes
694.65,0,Yes
692.23,0,Yes
688.93,0,Yes
688.93,0,Yes
687.39,0,Yes
685.19,0,Yes
690.36,0,Yes
686.07,0,Yes
685.85,0,Yes
685.41,0,Yes
693.55,0,Yes
692.78,0,Yes
690.91,0,Yes
698.5,0,Yes
694.1,0,Yes
695.2,0,Yes
694.76,0,Yes
694.54,0,Yes
694.87,0,Yes
701.03,0,Yes
697.84,0,Yes
699.93,0,Yes
705.32,0,Yes
705.65,0,Yes
707.85,4.62,Yes
704.33,0,Yes
697.73,0,Yes
697.4,0,Yes
694.65,0,Yes
690.36,0,Yes
688.05,0,Yes
684.64,0,Yes
676.72,0,Yes
676.28,0,Yes
675.07,0,Yes
670.89,9.24,Yes
664.07,25.41,Yes
647.79,39.38,Yes
635.14,55.55,Yes
625.24,89.98,Yes
616.88,125.95,Yes
595.1,168.63,Yes
578.38,200.2,Yes
552.75,222.64,Yes
517.99,261.91,Yes
494.67,310.2,Yes
466.07,352.99,Yes
419.1,397.65,Yes
362.56,425.59,Yes
299.86,447.59,Yes
246.84,467.83,Yes
192.28,485.98,Yes
162.36,496.43,Yes
136.29,513.37,Yes
103.51,524.92,Yes
67.21,540.65,Yes
38.94,553.63,Yes
19.58,575.3,Yes
15.18,592.79,Yes
0,609.29,Yes
0,631.51,Yes
0,650.32,Yes
0,663.96,Yes
0,684.86,Yes
0,696.19,Yes
0,706.2,Yes
0,714.23,Yes
0,715.66,Yes
0,715.66,Yes
0,717.09,Yes
0,716.32,Yes
0,713.46,Yes
0,709.72,Yes
0,708.07,Yes
0,709.61,Yes
0,702.24,Yes
0,705.87,Yes
0,698.83,Yes
0,696.85,Yes
0,698.28,Yes
0,699.05,Yes
0,692.23,Yes
0,692.67,Yes
0,692.78,Yes
0,699.16,Yes
0,700.59,Yes
0,705.76,Yes
0,707.08,Yes
0,711.26,Yes
0,713.35,Yes
0,715.33,Yes
0,717.42,Yes
0,718.52,Yes
0,720.61,Yes
0,713.35,Yes
0,713.35,Yes
0,711.81,Yes
0,711.15,Yes
0,705.1,Yes
0,700.15,Yes
0,695.42,Yes
0,692.12,Yes
0,686.29,Yes
0,680.13,Yes
0,676.72,Yes
0,664.18,Yes
0,662.64,Yes
0,656.04,Yes
5.06,639.87,Yes
10.12,625.02,Yes
17.71,597.85,Yes
27.83,572.11,Yes
40.48,543.51,Yes
78.76,523.82,Yes
162.25,502.26,Yes
213.29,471.13,Yes
269.83,428.23,Yes
317.02,382.03,Yes
357.06,354.64,Yes
402.71,331.87,Yes
439.56,313.5,Yes
471.57,275.66,Yes
490.05,241.67,Yes
507.76,194.92,Yes
526.79,165.77,Yes
548.24,145.31,Yes
560.34,129.58,Yes
579.92,102.08,Yes
592.35,67.76,Yes
605.88,38.17,Yes
621.39,22.22,Yes
632.39,16.39,Yes
647.35,5.72,Yes
653.62,0,Yes
665.17,0,Yes
671.99,0,Yes
688.49,0,Yes
689.15,0,Yes
693.66,0,Yes
688.6,0,Yes
693.11,0,Yes
692.56,0,Yes
699.93,0,Yes
700.48,0,Yes
700.81,0,Yes
700.81,0,Yes
702.9,0,Yes
698.39,0,Yes
695.2,0,Yes
693.55,0,Yes
697.07,0,Yes
695.53,0,Yes
691.02,0,Yes
686.84,0,Yes
